#{"t_start": 1779246203.9796607, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.523736
17.0,17,1.567005
34.0,34,1.65313
17.0,17,1.696451
27.0,27,1.766558
18.0,18,1.813385
27.0,27,2.596526
17.0,17,2.641595
18.0,18,2.686418
10.0,10,2.713709
33.0,33,2.797406
25.0,25,2.860484
31.0,31,3.514296
18.0,18,3.560447
45.0,45,3.672857
27.0,27,3.741466
92.0,92,4.548641
12.0,12,4.57896
26.0,26,4.645813
31.0,31,5.296272
28.0,28,5.370132
38.0,38,5.466025
60.0,60,6.195592
30.0,30,6.274142
50.0,50,6.403345
49.0,49,7.095048
90.0,90,7.325816
143.0,143,8.256018
119.0,119,9.134306
111.0,111,9.992951
169.0,169,11.596392
135.0,135,12.514689
219.0,219,13.659174
117.0,117,14.555715
240.0,240,16.346336
158.0,158,17.378354
244.0,244,19.245566
254.0,254,21.050418
152.0,152,22.005162
166.0,166,23.544389
115.0,115,24.384015
81.0,81,24.587522
155.0,155,26.105267
146.0,146,27.040622
381.0,381,29.899866
224.0,224,31.047463
500.0,500,34.26929
228.0,228,35.730082
190.0,190,37.116037
171.0,171,37.974288
171.0,171,38.83662
162.0,162,39.677292
273.0,273,41.716263
500.0,500,44.759965
475.0,475,47.247619
323.0,323,49.419956
269.0,269,50.96926
500.0,500,54.019711
500.0,500,57.115246
500.0,500,60.173792
391.0,391,62.512355
311.0,311,64.165447
316.0,316,66.425863
500.0,500,69.086312
500.0,500,72.201225
500.0,500,75.346956
500.0,500,78.53717
500.0,500,81.622659
