#{"t_start": 1779246203.9759107, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.527486
28.0,28,1.598293
18.0,18,1.645359
14.0,14,1.680665
26.0,26,1.747524
23.0,23,1.805616
19.0,19,2.570738
9.0,9,2.59252
35.0,35,2.682654
14.0,14,2.719474
12.0,12,2.75058
18.0,18,2.795404
34.0,34,3.456151
101.0,101,3.711915
25.0,25,4.344608
62.0,62,4.506108
48.0,48,4.627779
31.0,31,5.278239
26.0,26,5.34659
75.0,75,5.538117
17.0,17,6.158045
56.0,56,6.305424
31.0,31,6.383809
27.0,27,6.454454
155.0,155,7.98393
115.0,115,8.848799
154.0,154,9.817469
161.0,161,10.81758
136.0,136,11.747351
113.0,113,12.608227
52.0,52,12.742454
292.0,292,15.259819
138.0,138,16.19242
159.0,159,17.232974
164.0,164,18.273419
137.0,137,19.249316
293.0,293,21.722575
103.0,103,21.983626
136.0,136,22.891283
123.0,123,23.753346
235.0,235,25.446198
110.0,110,26.301659
420.0,420,29.153529
500.0,500,32.708353
115.0,115,33.483386
211.0,211,34.911443
152.0,152,35.72582
163.0,163,36.574427
225.0,225,38.030614
244.0,244,39.53627
188.0,188,40.433468
500.0,500,43.452848
500.0,500,46.499331
182.0,182,47.857052
500.0,500,50.892055
500.0,500,53.472247
500.0,500,56.569782
500.0,500,59.615697
500.0,500,62.681435
280.0,280,64.263647
500.0,500,67.449008
500.0,500,70.576367
500.0,500,73.709168
500.0,500,76.901312
500.0,500,80.060537
