#{"t_start": 1779246203.9779148, "env_id": "CartPole-v1"}
r,l,t
20.0,20,1.551195
27.0,27,1.620071
42.0,42,1.727491
21.0,21,1.78183
31.0,31,2.576489
15.0,15,2.614041
80.0,80,2.81893
18.0,18,2.864234
43.0,43,3.548158
101.0,101,4.373644
30.0,30,4.452264
32.0,32,4.534383
15.0,15,4.572951
37.0,37,4.667093
26.0,26,5.305774
282.0,282,7.173891
84.0,84,7.95614
253.0,253,9.749776
60.0,60,9.901849
180.0,180,10.949758
227.0,227,12.686543
500.0,500,16.319836
228.0,228,18.147657
39.0,39,18.25241
209.0,209,20.00514
240.0,240,21.750372
257.0,257,23.520559
298.0,298,25.371837
274.0,274,27.206058
100.0,100,28.077565
363.0,363,30.856213
57.0,57,30.999895
279.0,279,32.731981
271.0,271,34.815053
116.0,116,35.07356
126.0,126,35.829462
100.0,100,36.538639
97.0,97,37.231624
169.0,169,38.087694
206.0,206,39.504973
327.0,327,41.186958
500.0,500,44.212844
500.0,500,47.251368
222.0,222,48.722913
460.0,460,51.661721
500.0,500,54.230113
500.0,500,57.32218
500.0,500,60.380178
492.0,492,63.415882
486.0,486,66.541907
500.0,500,69.693536
500.0,500,72.816233
500.0,500,75.9851
500.0,500,79.187877
500.0,500,81.740318
